पुरुषार्थ,"द्वाविम पुरुषौ लोके सूर्य मंडल भेदिनी । 
परिव्राट् योगयुक्तश्व रणे चाऽभिमुखो हत:॥ 
",इस लोक मे दो ही प्रकार के लोग मोक्ष को प्राप्त होते है  । एक तो समाज के लिये सबकुछ छोडने वाला योगसाधक सन्यासी तथा युध्दभूमि में वीरजपूर्वक मृत्यु को प्राप्त होने वाला वीर । ,,,
धर्म लक्षण,"धर्म एवं हनो हन्ति धर्मो रक्षति रक्षित: ।
तस्माद् धर्मो न हन्तव्यो मा नो धर्मो हतोऽवधीत् ॥
",धर्म के नाश करने पर धर्म हमे नष्ट करेगा । धर्म के रक्षण किये जाने पर धर्म हमारा संरक्षण करेगा ।  अत: धर्म का उल्लंघन न करे । ,,,
उद्यम,"न देवा दण्डमादाय  रक्षन्ति पशुपालवत् 
यं तु रक्षितुमिच्छन्ति बुद्ध्या संविभजन्ति तम् ॥
","देव, किसी की, हाथ मे दंड लेकर रक्षा नही जिनका रक्षण करने की इच्छा करते है, उन्हे बुध्दि प्रदान करते है। ",,,
व्यक्तिमत्व,"न हि जन्मनि ज्येष्ठत्वं गुण उच्यते । 
गुणाद् गुरूत्वमायाति दुग्धं दृधि घृतं यथा |
","श्रेष्ठता जन्म से आती नही गुणों के कारण निर्माण होती है।  दही, दूध, घी से सब एकही कुल के होते हुए भी सब के दाम अलग अलग होते है। ",,,
सदगुण,"नमन्ति फलिनो वृक्षा नमन्ति गुणिनो जना:। 
शुष्ककाष्ठश्च मूर्खश्च न नमन्ति कदाचन ॥ 
",फलों से भरा वृक्ष भी झुकता है। गुणवान भी नम्र होते हैं। परंतु सुखी (अनुपयुक्त) लकडी और  मूर्ख कभी भी नम्र नही रहता । ,,,
सदगुण,"नयन्ति फलिनो वृक्षा नमन्ति गुणिनो जना: ।
शुष्ककाष्ठश्च मूर्खश्च न नमन्ति कदाचन ॥
",फलों से भरा वृक्ष भी झुकता है। गुणवान भी नम्र होते हैं।   परंतु सुखी (अनुपयुक्त) लकडी और मूर्ख कभी भी नम्र नही रहते । ,,,
पुरुषार्थ,"नाभिषेको न संस्कार: सिंहस्य क्रियने वने । 
विक्रमा्र्जितसत्वस्य स्वयमेव मृगेन्द्रता ॥ 
","वनराज सिंह का कभी राज्यभिषेक नही होता, स्वयं के पराक्रम से ही सिंह वनराज बनता ",,,
व्यक्तिमत्व,"नास्ति कामसमो व्याधि: नास्ति मोह समो रिपु: । 
नास्ति क्रोधसमो वन्हि:  नास्ति ज्ञानात् परम् सुखम् ॥ 
","काम के समान कोई रोग, मोह के समान कोई शत्रु और क्रोध के समान कोई अग्नि नही तथा ज्ञान से बढकर कोई सुख नही।",,,
व्यक्तिमत्व,"प्रिय वाक्यप्रदानेन सर्वे तुष्यन्ति जन्तव: । 
तस्मात्तदेव कर्तव्यं वचने का दरिद्रता ॥ 
","मधुर भाषण से बोली से सभी प्राणी प्रसन्न होते है, अत: प्रिय वचन ही बोलने चाहिएं, वाणी मे अमृतरूपी मधुरता घोलनी चाहिए, वचनों मे भी दरिद्रता कैसी ? ",,,
व्यक्तिमत्व,"भद्र कृतं मौनं कोकिलैर्जलदागमे । 
दर्दुरा यत्र गायन्ति तत्र मौनही शोभनम् ॥
","वर्षा ऋतु मे कोकिल मौन रहते है, यह बहुत ठीक है।  क्यों की जब मेंढक गायन करते है, वहाँ मौन से ही शोभा होती है।  बुध्दमान गुरर्वों के सामने मौन रहे ।",,,
पृथ्वी,"माता मे पार्वती देवी पिता देवो महेश्वर: 
भ्रातरो मनुजा: सर्वे स्वदेशो भुवनत्रयम् ॥ 
","विश्वमाता (पार्वती देवी) मेरी माता है, विश्व के स्वामी महेश्वर मेरे पिता है, सब मनुष्य मेरे भाई है और तीनो लोक मेरा स्वदेश है ।",,,
सदगुण,"मातृवत् परदारेषु परद्रव्येषु लोष्ठवत् । 
आत्मवत् सर्वभूतेषु य: पश्यति स पंडित: ॥ 
","जो मनुष्य पर-स्त्री को माता के समान, पराये धन को मिट्टी के ढेबे के समान और समस्त प्राणिमात्र को अपनी आत्मा के समान देखता है, वही पंडित (विद्वान ) है । ",,,
भोजन मंत्र,"मुखी घास घेता करावा विचार,
कशासाठी मी अन्न हे सेवणार,
घडो माझिया हातुनी देशसेवा,
म्हणोनी मिळावी मला शक्ती देवा ।।
",,,,
स्त्री महात्म्य,"यत्र नार्यस्तु पूज्यन्ते रमन्ते तत्र देवता ।
यत्र एतास्तु न पूज्यन्ते सर्वास तत्र अफला: क्रिया ॥
","जहाँ महिलाओंकी पूजा होती है वहाँ देव रमते (संतुष्ट होते), जहाँ उनका आदर नही किया जाता, वहाँ की सारी क्रिया निष्फल होती है ।",,,
व्यक्तिमत्व,"येषां न विद्या न नपो न दानं 
ज्ञानं न शीलं न गुणो न धर्म : ।
ते मर्त्यलोके भुवि भारभुता 
मनुष्यरूपेण मृगाश्चरन्ति ॥
","जिस मनुष्य के पास विद्या नही है, जिसने तप नही किया है, जो देना नही जानता, अविवेकी और असभ्य है, जिसमे कोई गुण नही और जो अपने धर्म का चालन नही करता, वही पृथ्वी रूपी मां पर भार ही है और एक प्रकार से मनुष्य के रूप मे पशु जैसा विचरण करता है। ",,,
स्त्री महात्म्य,"राष्ट्रस्य सुदृढा शक्ति: समाजस्य च धारिणी । 
भारते संस्कृते नारी, माता नारायणी सदा ॥ 
","नारी भारत की शक्ति का स्त्रोत है, जो राष्ट्र को सुदृढ करती है, तथा समाज को धारण करती है और देवी माँ की भांती सदा सर्वदा पालन पोषण एवं संस्कार करती है । ",,,
व्यक्तिमत्व,"वनानि दहतो वन्हे सखा भवति मारुत: ।
स एव दीप नाशाय कृशे कस्यास्त सौहृदम् ।| 
","बनो मे आग लगानेवाले अग्नि को वायु सहाय्यता करते हुए तीव्र कर देती है।  वही वायु एक दीपक को बुझा देती है, सच है कि दुर्बल को कोई सहाय्य नही करता ।",,,
व्यक्तिमत्व,"विदेशेषु धनं विद्या व्यसनेषु धनं मति: 
परलोके धनं धर्म: शीलं सर्व वै धनम् ॥ 
",परदेश मे विद्या ही धन है।  संकट समय बुध्दी ही धन है।  परलोक मे धर्म ही धन है।  परंतु शील सभी समय पर और सब जगह धन है। ,,,
सदगुण,"विद्या विवादाय धनं मदाय शक्ति: परेषां परिपीऽनाय । 
खलस्य साधोर्विपरीतमेतत् ज्ञानाय दावाय च रक्षणाय ॥
","दुष्ट जन विद्या का विवाद के लिये, धन मद के लिये, और शक्ती दुसरोंको कष्ट देने मे व्यय करते है, पर सज्जन इसके विपरीत विद्या का ज्ञान, धन का दान, और शक्ती का दीन-हीनों की रक्षा मे उपयोग करते है। ",,,
ज्ञान,"विद्वत्वं च नृपत्वं च नैव तुल्य कदाचन
स्वदेशे पूज्यते राजा विद्वान् सर्वत्र पूज्यते ॥
",विद्वान और राजा की कभी तुलना न करें ।  राजा को अपने देश मे ही सम्मान मिलता है।  परंतु विद्वान को सभी जगह सम्मान प्राप्त होता है। ,,,
व्यक्तिमत्व,"विश्वामित्रो वरिष्ठश्च मतंगो नारदादय:।
तपविशेषै: सम्प्राप्ता उत्तमत्वं न जातित: ॥
","विश्वामित्र, वशिष्ठ, मतंग और नारद आदि महापुरूषोंने विशेष तपसे उत्तमत्व प्राप्त किये, जाति के कारण नही ॥",,,
वृक्ष,"वृक्ष संरक्षणं कार्यं पुत्रवन मानवै: सदा ।
छाया फल प्रदानेन वृक्षा रक्षन्ति रक्षिता: ॥
",मनुष्यों ने सदैव पुत्र के समान वृक्षों का संरक्षण करना चाहिए ।  वृक्षोंका रक्षण करनेपर वे छाया और फल देकर वे अपना रक्षण करते है।,,,
व्यक्तिमत्व,"व्यसने मित्रपरीक्षा शूरपरीक्षा रणाङ्गणे भवति। 
विनये भृत्यपरीक्षा दानपरीक्षा च दुर्भिक्षे ॥ 
","मित्र की परीक्षा संकट के समय, शूर की परीक्षा रणक्षेत्र मे सेवक की परीक्षा उसकी नम्रता से तथा दातृत्व की परीक्षा अकाल मे होती है । ",,,
व्यक्तिमत्व,"शान्तितुल्यं तपो नास्ति न संतोषात्परं सुखम् ।
न तृष्णया: परो व्यधिर्न च धर्मो दया परा: ॥
","शांती के समान कोई तप नही है, संतोष से श्रेष्ठ कोई सुख नही, तृष्णा से बढकर कोई रोग नही और दया से बढकर कोई धर्म नही । ",,,
व्यक्तिमत्व,"शैले शैले न माणिक्यं, मौक्तिकम् न गजे गजे । 
साधवो नही सर्वत्र, चंदनं न वने वने ॥ 
",मोती सभी पर्वतों पर नही मिलते ।  गजमुक्ता (काले रंग का मणि) सभी हाथियों मे नही मिलते | चन्दन वृक्ष सब वनों मे नही मिलते । तथा सज्जन पुरूष सर्वत्र नही होते ,,,
दुर्गुण,"षड् दोषा: पुरूषेणेह हातव्या भूतिमिच्छता  
निद्रा तन्द्रा भयं क्रोधम् आलस्यं दीर्घसूत्रता |
","इस संसार मे अभ्युदयकी इच्छावाले लोग निद्रा, तन्द्रा, भय, क्रोध, आलस्य, दीर्घसूत्रता, इन छह दोषोंका त्याग करें।",,,
संघटन,"संगच्छध्वं सं वदध्वं सं वो मनासिं जानताम्। 
देवा भागं यथा पूर्वे सञ्जानाना उपासते ॥     
","पग से पग मिलाकर चलो, स्वर मे स्वर मिलाकर बोलो, तुम्हारे मनो मे समान बोध हो।  पूर्वकाल मे जैसे देवोने अपना भाग प्राप्त किया, सम्मिलित बुध्दि से कार्य करने वाले उसी प्रकार अपना अभीष्ट प्राप्त करते है। 
 
",,,
व्यक्तिमत्व,"संपूर्णकुंभो न करोती शब्दं अर्धोघटो घोषयुपैति नूनम । 
विद्वान कुलीनो न करोति गर्व गुणैर्विहीना बहु जल्पयंति ॥
","पूर्ण भरा मटका शोर मचाता नही, अधूरा भरा मटका बहुत आवाज करता है।  विद्वान लोग गर्व से पिडीत नही होते । जिन लोगो में कुछ गुण नही वे ही बहुत बडबड करते ।",,,
धर्म लक्षण,"सत्यं ब्रूयात्प्रियं ब्रूयात न ब्रूयात्सत्यमप्रियम्। 
प्रियञ्च नानृतं ब्रूयात एब धर्म: सनातन: ॥
",सत्य बोले ! प्रिय बोले !  सत्य होते हुये भी अप्रिय (बात) न कहें । ठीक उसी तरह प्रिय लगनेवाला असत्य भी न बोले । यही सनातन  धर्म है। ,,,
दुर्जन,"सर्प: क्रूर: खल: क्रूर: सर्वात क्रूरतर खल: ।
सर्ष: शाम्यति मन्त्रैश्च दुर्जन: केन शाम्यति ॥
","साप क्रूर होता है। दुष्ट भी क्रूर होता है।  परंतु साप से दुष्ट को अधिक क्रूर कहना चाहिये, क्यों की मंत्रो के उपाय से साप को शांत किया जा सकता है, परंतु दुष्ट किसी भी उपाय से शांत होता नही ।",,,
शांती मंत्र,"सर्वे भवंतु सुखिन:सर्वे संतु निरामय: ।
सर्वे भद्राणि पश्यन्तु मा कश्चित् दु:ख माप्नुयात् ।।
","सब लोक सुखी हो, सब निरोगी हो,
सबका कल्याण हो,किसीको दु:ख ना हो ।
",,,
संघटन,"सामर्थ्यमूलं स्वातंत्र्य श्रममूलं च वैभवम् । 
न्यायमूलं सुराज्यं स्यात्T संघमूलं महाबलम्॥ 
","स्वातंत्र्यता का आधार सामर्थ्य है।  वैभव परिश्रम से प्राप्त होता है, जहाँ पर न्याय प्राप्त हो व सुराज्य है तथा संगठन (शक्ती) का आधार शक्ति है । ",,,
सद्गुण,"हस्तस्य भूषणम् दानम्, सत्यं कण्ठस्य भूषणम्। 
श्रोत्रस्य भूषणम् शास्त्रम्, भूषणै: किं प्रयोजनम् ॥
",हाथ का आभूषण दान  देना होता है | कंठ का आभूषणसत्य बोलना होता है | कान का आभूषण शास्त्र सुनना होता है | तो बाकी आभूषणों का क्या प्रयोजन ?,,,
समरसता मंत्र,"हिन्दव:सोदरा: सर्वे , न हिन्दू: पतितो भवेत् ।
मम दीक्षा हिन्दू रक्षा , मम मंत्र: समानता । 
","सब हिन्दू भाई है , कोई  भी हिन्दू पतित नहीं है । हिंदुओंकी रक्षा मेरी दीक्षा है, समानता यही मेरा मंत्र है ।",,,
मातृभूमी,"हिमालयं समारभ्य यावदिन्दुसरोवरम् |   
तं देवनिर्मितं देशं हिन्दुस्थानं प्रचक्षते ॥ 
",हिमालयसे हिन्दू महासागर तक फैले हुए देवनिर्मित भूमिको हिन्दुस्थान कहत है ।,,,
,"आलस्यं हि मनुष्याणां शरीरस्थो महान् रिपुः |
नास्त्युद्यमसमो बन्धुः कृत्वा यं नावसीदति ||",मनुष्यों के शरीर में रहने वाला आलस्य ही ( उनका ) सबसे बड़ा शत्रु होता है | परिश्रम जैसा दूसरा (हमारा )कोई अन्य मित्र नहीं होता क्योंकि परिश्रम करने वाला कभी दुखी नहीं होता |,,,
,"यथा ह्येकेन चक्रेण न रथस्य गतिर्भवेत् |
एवं परुषकारेण विना दैवं न सिद्ध्यति ||",जैसे एक पहिये से रथ नहीं चल सकता है उसी प्रकार बिना पुरुषार्थ के भाग्य सिद्ध नहीं हो सकता है |,,,
,"बलवानप्यशक्तोऽसौ धनवानपि निर्धनः |
श्रुतवानपि मूर्खोऽसौ यो धर्मविमुखो जनः ||","जो व्यक्ति धर्म ( कर्तव्य ) से विमुख होता है वह ( व्यक्ति ) बलवान् हो कर भी असमर्थ , धनवान् हो कर भी निर्धन तथा ज्ञानी हो कर भी मूर्ख होता है |",,,
,"जाड्यं धियो हरति सिंचति वाचि सत्यं ,
मानोन्नतिं दिशति पापमपाकरोति |
चेतः प्रसादयति दिक्षु तनोति कीर्तिं ,
सत्संगतिः कथय किं न करोति पुंसाम् ||","अच्छे मित्रों का साथ बुद्धि की जड़ता को हर लेता है ,वाणी में सत्य का संचार करता है, मान और उन्नति को बढ़ाता है और पाप से मुक्त करता है | चित्त को प्रसन्न करता है और ( हमारी )कीर्ति को सभी दिशाओं में फैलाता है |(आप ही ) कहें कि सत्संगतिः मनुष्यों का कौन सा भला नहीं करती |",,,
,"चन्दनं शीतलं लोके ,चन्दनादपि चन्द्रमाः |
चन्द्रचन्दनयोर्मध्ये शीतला साधुसंगतिः ||",संसार में चन्दन को शीतल माना जाता है लेकिन चन्द्रमा चन्दन से भी शीतल होता है | अच्छे मित्रों का साथ चन्द्र और चन्दन दोनों की तुलना में अधिक शीतलता देने वाला होता है |,,,
,"श्रोत्रं श्रुतेनैव न कुंडलेन ,दानेन पाणिर्न तु कंकणेन ,
विभाति कायः करुणापराणां ,परोपकारैर्न तु चन्दनेन ||",कानों की शोभा कुण्डलों से नहीं अपितु ज्ञान की बातें सुनने से होती है | हाथ दान करने से सुशोभित होते हैं न कि कंकणों से | दयालु / सज्जन व्यक्तियों का शरीर चन्दन से नहीं बल्कि दूसरों का हित करने से शोभा पाता है |,,,
,"पुस्तकस्था तु या विद्या ,परहस्तगतं च धनम् |
कार्यकाले समुत्तपन्ने न सा विद्या न तद् धनम् ||",पुस्तक में रखी विद्या तथा दूसरे के हाथ में गया धन—ये दोनों ही ज़रूरत के समय हमारे किसी भी काम नहीं आया करते |,,,
,"विद्या मित्रं प्रवासेषु ,भार्या मित्रं गृहेषु च |
व्याधितस्यौषधं मित्रं , धर्मो मित्रं मृतस्य च ||"," ज्ञान यात्रा में ,पत्नी घर में, औषध रोगी का तथा धर्म मृतक का ( सबसे बड़ा ) मित्र होता है |",,,
,"सहसा विदधीत न क्रियामविवेकः परमापदां पदम् |
वृणते हि विमृश्यकारिणं गुणलुब्धाः स्वयमेव संपदः ||",अचानक ( आवेश में आ कर बिना सोचे समझे ) कोई कार्य नहीं करना चाहिए कयोंकि विवेकशून्यता सबसे बड़ी विपत्तियों का घर होती है | ( इसके विपरीत ) जो व्यक्ति सोच –समझकर कार्य करता है ; गुणों से आकृष्ट होने वाली माँ लक्ष्मी स्वयं ही उसका चुनाव कर लेती है |,,,
